,# YTID,start_seconds,end_seconds,positive_labels
42710,-faXMDW9jUw,30.0,40.0,/m/0l14j_
43941,-gtGMV1jQNc,30.0,40.0,/m/0l14j_
44161,-h7I-CCgCbQ,30.0,40.0,/m/0l14j_
46175,-jHHCTHxDp4,0.0,10.0,/m/0l14j_
46478,-jbQSAupFFg,180.0,190.0,/m/0l14j_
47403,-kXt93QQPSY,30.0,40.0,/m/0l14j_
48444,-lfNkn9lZt4,0.0,10.0,/m/0l14j_
48523,-lknq4-Dcpo,50.0,60.0,/m/0l14j_
48760,-m1F_4z-TDs,30.0,40.0,/m/0l14j_
49001,-mHbsc2gctI,30.0,40.0,/m/0l14j_
49470,-mn13D5hTPg,30.0,40.0,/m/0l14j_
49757,-n4BEVTbMP8,20.0,30.0,/m/0l14j_
50388,-nkcTTWWn2g,30.0,40.0,/m/0l14j_
50837,-oGtiSwccH0,40.0,50.0,/m/0l14j_
50972,-oOzwEopvdY,80.0,90.0,/m/0l14j_
51098,-oXV2Idhvuw,10.0,20.0,/m/0l14j_
52313,-pn6MtEWQKk,30.0,40.0,/m/0l14j_
53536,-r3DHFAMifE,30.0,40.0,/m/0l14j_
54002,-rZxQqq2YpU,30.0,40.0,/m/0l14j_
54854,-sSJXeMC0nA,30.0,40.0,/m/0l14j_
55093,-sfV2dSHbiU,0.0,10.0,/m/0l14j_
55464,-t3Dggi5djc,90.0,100.0,/m/0l14j_
56697,-uL2fgf7TK4,30.0,40.0,/m/0l14j_
56961,-ub8zdZ6YS8,30.0,40.0,/m/0l14j_
57268,-uwEUd-C0bQ,40.0,50.0,/m/0l14j_
57687,-vMFoQQw9hY,170.0,180.0,/m/0l14j_
58161,-vpknpy98HE,30.0,40.0,/m/0l14j_
58409,-w6CrjqhlfU,30.0,40.0,/m/0l14j_
58667,-wNkxmHlk_o,30.0,40.0,/m/0l14j_
59213,-wzQzlUCouI,30.0,40.0,/m/0l14j_
59333,-x6okg0mltw,50.0,60.0,/m/0l14j_
59502,-xIQ2G2zWfc,380.0,390.0,/m/0l14j_
60185,-y1Pkp5n1Ak,30.0,40.0,/m/0l14j_
60428,-yGno5_ywmA,30.0,40.0,/m/0l14j_
61028,-yt2OX20K0E,50.0,60.0,/m/0l14j_
61149,-z-opcAwAhA,100.0,110.0,/m/0l14j_
61584,-zTASP2V65Y,20.0,30.0,/m/0l14j_
62079,-zzoo8HAVjY,30.0,40.0,/m/0l14j_
62352,0-I1-DOC-r8,18.0,28.0,/m/0l14j_
62464,0-QEJBXQ-e8,30.0,40.0,/m/0l14j_
62503,0-SnwMhYG1k,30.0,40.0,/m/0l14j_
63839,00oj4goAn0o,30.0,40.0,/m/0l14j_
63893,00rzcEOCB5U,70.0,80.0,/m/0l14j_
64076,014wEN3qV1E,120.0,130.0,/m/0l14j_
64757,01ndELCxHzk,30.0,40.0,/m/0l14j_
65261,02IujCknWXY,30.0,40.0,/m/0l14j_
65795,02rnKVawh0E,30.0,40.0,/m/0l14j_
65854,02uvuZ2KlJA,30.0,40.0,/m/0l14j_
66319,03NQmCrlsyY,20.0,30.0,/m/0l14j_
66667,03jRqksffAw,90.0,100.0,/m/0l14j_
67039,0466MKJ7tQk,40.0,50.0,/m/0l14j_
67249,04KYg7e6gnU,280.0,290.0,/m/0l14j_
67539,04dGRy4Gs6I,30.0,40.0,/m/0l14j_
67631,04jso9gS26M,20.0,30.0,/m/0l14j_
68594,05m0z5rTaVg,30.0,40.0,/m/0l14j_
69174,06OMekgtQkM,110.0,120.0,/m/0l14j_
69854,079Jw87y8AI,30.0,40.0,/m/0l14j_
70606,07uyW4Y3og0,560.0,570.0,/m/0l14j_
70940,08HSAPBuv-0,120.0,130.0,/m/0l14j_
73644,0B89rImrFoc,30.0,40.0,/m/0l14j_
73892,0BP5R5ADZko,30.0,40.0,/m/0l14j_
74131,0BeK2AbDt3M,30.0,40.0,/m/0l14j_
74381,0BvEqduxKS0,40.0,50.0,/m/0l14j_
74985,0CaA0wAIbKc,30.0,40.0,/m/0l14j_
75633,0DHEW92scUU,30.0,40.0,/m/0l14j_
75748,0DPGYHI0VAY,110.0,120.0,/m/0l14j_
76265,0DyF9qIWY6s,30.0,40.0,/m/0l14j_
76986,0EgoHBRbx6o,30.0,40.0,/m/0l14j_
78016,0FoG92UkxIo,30.0,40.0,/m/0l14j_
78649,0GUI0mNURGk,10.0,20.0,/m/0l14j_
78751,0GacxscxWoQ,80.0,90.0,/m/0l14j_
79676,0HbpWijLnhQ,30.0,40.0,/m/0l14j_
80339,0IJtUPRU6BY,0.0,10.0,/m/0l14j_
80834,0Ir8q2RKkDk,40.0,50.0,/m/0l14j_
80899,0IvNbabusiY,30.0,40.0,/m/0l14j_
81223,0JGADbfNJpg,30.0,40.0,/m/0l14j_
81404,0JTIg23Gl6o,30.0,40.0,/m/0l14j_
81719,0Joj06p-hNk,20.0,30.0,/m/0l14j_
82326,0KSq796EsCM,30.0,40.0,/m/0l14j_
82638,0KmQB2IFeh8,300.0,310.0,/m/0l14j_
83292,0LRrqxDqL6s,30.0,40.0,/m/0l14j_
84407,0McmdH07r7w,50.0,60.0,/m/0l14j_
84845,0N4yv1wNM5Y,30.0,40.0,/m/0l14j_
84975,0NDdfOUfupI,30.0,40.0,/m/0l14j_
85577,0NqG_-X6qCg,70.0,80.0,/m/0l14j_
86157,0OUNNbEoVPc,150.0,160.0,/m/0l14j_
86765,0P8acnEXs0Q,190.0,200.0,/m/0l14j_
87457,0Ptziqr4tBc,100.0,110.0,/m/0l14j_
87839,0QHxl_qa77U,30.0,40.0,/m/0l14j_
88805,0RHYjEmz14Q,30.0,40.0,/m/0l14j_
88824,0RIc6mwDRaQ,80.0,90.0,/m/0l14j_
91865,0UZk1V-rViM,30.0,40.0,/m/0l14j_
92441,0VAnPig3WLE,30.0,40.0,/m/0l14j_
93459,0WKZxrxHxl0,30.0,40.0,/m/0l14j_
94459,0XREe1fQLHY,220.0,230.0,/m/0l14j_
95640,0Yk2jwVJCjk,30.0,40.0,/m/0l14j_
97456,0_ixmalQrig,100.0,110.0,/m/0l14j_
99333,0bgXSHa41o4,30.0,40.0,/m/0l14j_
99366,0biR8Pad0FQ,80.0,90.0,/m/0l14j_
100572,0d2eiDp3N5k,30.0,40.0,/m/0l14j_
100607,0d4QJLBckHU,30.0,40.0,/m/0l14j_
101100,0dZjJejl7Fo,20.0,30.0,/m/0l14j_
101202,0dfquUiWARI,380.0,390.0,/m/0l14j_
102078,0ec75obVpfc,30.0,40.0,/m/0l14j_
102369,0ev7l1nkxQM,10.0,20.0,/m/0l14j_
102611,0fB1C972a9s,30.0,40.0,/m/0l14j_
103226,0fsbhgjBvmM,140.0,150.0,/m/0l14j_
103413,0g5nE-8EevA,30.0,40.0,/m/0l14j_
103496,0gB3liqZO3Y,30.0,40.0,/m/0l14j_
103766,0gTirOSN_i4,30.0,40.0,/m/0l14j_
104160,0gvG0FT2JO4,150.0,160.0,/m/0l14j_
105170,0hyuAqACARM,330.0,340.0,/m/0l14j_
107507,0kcNEpOiqtM,30.0,40.0,/m/0l14j_
108397,0l_RyHkZ6Jc,70.0,80.0,/m/0l14j_
108644,0lqatPFDAOw,30.0,40.0,/m/0l14j_
108916,0mAJOcH2T_Q,340.0,350.0,/m/0l14j_
109913,0nF7-MpTtGU,30.0,40.0,/m/0l14j_
111484,0p1f15EtJ0Y,30.0,40.0,/m/0l14j_
114366,0sDQRjQ1fcg,22.0,32.0,/m/0l14j_
118331,0wa5GTKA20s,30.0,40.0,/m/0l14j_
120211,0yc_iBaIIRQ,20.0,30.0,/m/0l14j_
120246,0yeb4WhFTZY,0.0,10.0,/m/0l14j_
121481,1-0IIIbfJLA,30.0,40.0,/m/0l14j_
121744,1-IIFAvjV-k,30.0,40.0,/m/0l14j_
121806,1-MTST2LHvI,30.0,40.0,/m/0l14j_
123028,10jW8zbFjHw,240.0,250.0,/m/0l14j_
124113,11sQB4lQ-VU,30.0,40.0,/m/0l14j_
124538,12LjJmihSK0,360.0,370.0,/m/0l14j_
124992,12rSyEOedSY,70.0,80.0,/m/0l14j_
125630,13ZUFe58LH4,30.0,40.0,/m/0l14j_
125756,13fqpw4QmR8,30.0,40.0,/m/0l14j_
126097,142TlfBU5PY,130.0,140.0,/m/0l14j_
126338,14Ki89E_S_8,150.0,160.0,/m/0l14j_
126834,14snmBiqZG0,100.0,110.0,/m/0l14j_
127777,15tf2-dLbE0,0.0,10.0,/m/0l14j_
127815,15wN5Jk_01M,30.0,40.0,/m/0l14j_
128158,16LaW_VWaF8,20.0,30.0,/m/0l14j_
129906,18EtDBfPK_I,30.0,40.0,/m/0l14j_
130222,18_CQWcNHr0,30.0,40.0,/m/0l14j_
130223,18_E6vlrV3k,30.0,40.0,/m/0l14j_
131197,19c36lShGlo,10.0,20.0,/m/0l14j_
132498,1B5_OOfazxY,30.0,40.0,/m/0l14j_
132893,1BXCEPe0x9Q,90.0,100.0,/m/0l14j_
133784,1CS7GsgRJos,10.0,20.0,/m/0l14j_
134733,1DZ_Nql4x0o,50.0,60.0,/m/0l14j_
135331,1ECScX5ai4k,100.0,110.0,/m/0l14j_
136127,1F1k3RKiNDc,100.0,110.0,/m/0l14j_
137896,1Gy2t9OSfMU,30.0,40.0,/m/0l14j_
138182,1HJCaZaF_TE,30.0,40.0,/m/0l14j_
138429,1HbeqKuE3go,30.0,40.0,/m/0l14j_
139841,1JCAUjzgee8,490.0,500.0,/m/0l14j_
140496,1JuleRQgmRo,30.0,40.0,/m/0l14j_
140788,1KF9QSYW250,30.0,40.0,/m/0l14j_
140999,1KVdL2diNiw,40.0,50.0,/m/0l14j_
141481,1L4RWZNkCC0,60.0,70.0,/m/0l14j_
144281,1O797F6M1dk,30.0,40.0,/m/0l14j_
144753,1OcpIkB_Kio,30.0,40.0,/m/0l14j_
145212,1P9wGKjGNfs,0.0,10.0,/m/0l14j_
145987,1Q0La5XzFq4,30.0,40.0,/m/0l14j_
146579,1QfFoQ_RoqQ,8.0,18.0,/m/0l14j_
149067,1TTFUPU7Odw,80.0,90.0,/m/0l14j_
149409,1Ttz8-k8xXM,230.0,240.0,/m/0l14j_
150365,1Uy5_ZcBqXY,50.0,60.0,/m/0l14j_
150573,1VAkPqd10bg,70.0,80.0,/m/0l14j_
151251,1Vv9OHA1lPw,60.0,70.0,/m/0l14j_
151717,1WTW9HnaGvE,30.0,40.0,/m/0l14j_
152177,1X-GaM6yDjw,40.0,50.0,/m/0l14j_
152607,1XTo4XUNwyU,0.0,10.0,/m/0l14j_
153174,1YAwus2Z5CY,10.0,20.0,/m/0l14j_
153571,1Yd-dTT-2_Y,0.0,10.0,/m/0l14j_
154960,1_BLcC4Mr1E,30.0,40.0,/m/0l14j_
155211,1_UVAlFBX6k,100.0,110.0,/m/0l14j_
155440,1_kjX_9H0N8,30.0,40.0,/m/0l14j_
155799,1aBdpA2SM9s,30.0,40.0,/m/0l14j_
156785,1bGlVNcyZTg,50.0,60.0,/m/0l14j_
157218,1bjJ5yKlNwg,30.0,40.0,/m/0l14j_
157966,1cXvsBl60l8,420.0,430.0,/m/0l14j_
157994,1c_8vI3D5SU,30.0,40.0,/m/0l14j_
159157,1dmEcg2xcug,570.0,580.0,/m/0l14j_
159264,1dtHtxHB-sw,30.0,40.0,/m/0l14j_
159368,1e-wZqDtiAM,30.0,40.0,/m/0l14j_
160890,1fioenvrmUQ,160.0,170.0,/m/0l14j_
164564,1jzD31-Vcfk,30.0,40.0,/m/0l14j_
164744,1kAunJfybJ8,30.0,40.0,/m/0l14j_
165645,1lGwSEs7OJM,40.0,50.0,/m/0l14j_
166278,1m-P9opKei0,30.0,40.0,/m/0l14j_
166348,1m4Xcz2e2KQ,30.0,40.0,/m/0l14j_
166904,1mhn6Do2W2o,30.0,40.0,/m/0l14j_
167383,1nEyvqO93kc,30.0,40.0,/m/0l14j_
167418,1nHcLwvFDNk,110.0,120.0,/m/0l14j_
168115,1o666t9H1rA,0.0,7.0,/m/0l14j_
168430,1oUnMi52e9Q,0.0,10.0,/m/0l14j_
169538,1pgmb1xDnHo,60.0,70.0,/m/0l14j_
170602,1qwx8_TQbNo,60.0,70.0,/m/0l14j_
170799,1rCcmrAW9ns,30.0,40.0,/m/0l14j_
172125,1sjmFJzDG0o,90.0,100.0,/m/0l14j_
172515,1t9dIA0lR-k,120.0,130.0,/m/0l14j_
174180,1v2Q_Is23EU,190.0,200.0,/m/0l14j_
174225,1v4yttojmSI,80.0,90.0,/m/0l14j_
174384,1vFdPpeld54,30.0,40.0,/m/0l14j_
175417,1wPPl3IhQto,310.0,320.0,/m/0l14j_
175564,1w_EADxq6H0,40.0,50.0,/m/0l14j_
175949,1x-vhDdrESo,180.0,190.0,/m/0l14j_
177415,1yk418aS9ak,30.0,40.0,/m/0l14j_
177967,1zMxPsTPu9k,140.0,150.0,/m/0l14j_
179569,206ydMxr7a8,27.0,37.0,/m/0l14j_
179862,20REGlP2WeU,110.0,120.0,/m/0l14j_
180092,20heCbODoEQ,30.0,40.0,/m/0l14j_
180481,2187lj8WdCo,10.0,20.0,/m/0l14j_
181485,22DapbNwnUY,30.0,40.0,/m/0l14j_
181933,22iVvNQvcK8,100.0,110.0,/m/0l14j_
182631,23Z4Se9i7g8,50.0,60.0,/m/0l14j_
183035,240NcYMRqYk,180.0,190.0,/m/0l14j_
184100,25G6abiJUc0,20.0,30.0,/m/0l14j_
185126,26SuCDCHvOE,330.0,340.0,/m/0l14j_
188325,2ADAPGLJJzk,10.0,20.0,/m/0l14j_
189607,2BjUyKgD-8w,90.0,100.0,/m/0l14j_
189647,2Bm3Zpeo2JY,40.0,50.0,/m/0l14j_
190191,2CP8TX5HzeU,140.0,150.0,/m/0l14j_
190515,2Cn3ve85380,30.0,40.0,/m/0l14j_
191462,2DwEUtolBF8,30.0,40.0,/m/0l14j_
192151,2EjcbMVMaz4,30.0,40.0,/m/0l14j_
193568,2GLyeRlmagA,30.0,40.0,/m/0l14j_
193993,2GnUD9XypV8,550.0,560.0,/m/0l14j_
194237,2H5hjd6e-24,0.0,10.0,/m/0l14j_
196177,2JIQ5CHGhn8,80.0,90.0,/m/0l14j_
197059,2KIy7kcFs60,430.0,440.0,/m/0l14j_
197869,2LEvipyAJp0,10.0,20.0,/m/0l14j_
198037,2LPmjrlOoiI,60.0,70.0,/m/0l14j_
198105,2LUiYpPgf74,30.0,40.0,/m/0l14j_
199740,2NPCta9UcLE,0.0,10.0,/m/0l14j_
199978,2NfiUXbBhIA,40.0,50.0,/m/0l14j_
201298,2PGE6NY1gv8,30.0,40.0,/m/0l14j_
202799,2Qv26nPsbAE,30.0,40.0,/m/0l14j_
203373,2RZN0vytK3E,30.0,40.0,/m/0l14j_
203638,2RsNm31KmiU,30.0,40.0,/m/0l14j_
204124,2SPL3Tnrvdo,30.0,40.0,/m/0l14j_
205934,2UWQtOCs0PA,30.0,40.0,/m/0l14j_
206104,2Ui03qNmG0k,30.0,40.0,/m/0l14j_
206899,2VgdnddtazA,50.0,60.0,/m/0l14j_
207322,2W9R9Z7mqFE,130.0,140.0,/m/0l14j_
207676,2WZyI1ffGxQ,30.0,40.0,/m/0l14j_
207988,2Ww9O41IJkg,0.0,10.0,/m/0l14j_
208096,2X2_7NkUkAo,70.0,80.0,/m/0l14j_
209039,2YCvgUV16D0,20.0,30.0,/m/0l14j_
211183,2_g7mKKpnrE,190.0,200.0,/m/0l14j_
211374,2_vERvFvKa4,90.0,100.0,/m/0l14j_
212395,2b8pODp7ADE,30.0,40.0,/m/0l14j_
212712,2bXM60jdWUk,90.0,100.0,/m/0l14j_
214204,2dHnhe1KDhs,10.0,20.0,/m/0l14j_
214382,2dUAk6Ml4O0,40.0,50.0,/m/0l14j_
214855,2e0YFk-NUM8,0.0,10.0,/m/0l14j_
215834,2f9cyVRZFcE,60.0,70.0,/m/0l14j_
217562,2h9etHNB4n0,30.0,40.0,/m/0l14j_
218765,2iaf9OWj9rI,30.0,40.0,/m/0l14j_
219681,2jf0XaSn78U,540.0,550.0,/m/0l14j_
219872,2jrbCouR0tg,0.0,10.0,/m/0l14j_
222149,2mV2Tw4YHn4,30.0,40.0,/m/0l14j_
223789,2oPZV3vzjhc,240.0,250.0,/m/0l14j_
224498,2pBi3n2j64o,570.0,580.0,/m/0l14j_
224622,2pLJh2Qf5Qw,300.0,310.0,/m/0l14j_
225326,2qBbIZsK0nQ,20.0,30.0,/m/0l14j_
225493,2qN_Rj_fETQ,60.0,70.0,/m/0l14j_
226974,2sABgyMek3g,320.0,330.0,/m/0l14j_
229373,2uync1_M0_s,180.0,190.0,/m/0l14j_
229776,2vTA2kUSOxo,220.0,230.0,/m/0l14j_
230056,2voAUhNCF70,90.0,100.0,/m/0l14j_
230057,2voAezAo4_g,360.0,370.0,/m/0l14j_
230333,2w7o1yAG0tM,70.0,80.0,/m/0l14j_
231096,2x1lIrgKxYo,0.0,10.0,/m/0l14j_
232151,2yG11emGKm0,520.0,530.0,/m/0l14j_
232850,2z6_AVrKoFE,50.0,60.0,/m/0l14j_
235063,30iKpCcOtyQ,230.0,240.0,/m/0l14j_
236710,32XfH-GUv2s,30.0,40.0,/m/0l14j_
237045,32vPcymEixY,420.0,430.0,/m/0l14j_
240401,36p3tK2uikg,30.0,40.0,/m/0l14j_
241670,38K_kN9SEWs,110.0,120.0,/m/0l14j_
242483,39IYFxLsDwk,30.0,40.0,/m/0l14j_
242771,39dHwlkjKIo,30.0,40.0,/m/0l14j_
242806,39fI4Ge4aWc,0.0,10.0,/m/0l14j_
242912,39o1iMVFxFQ,290.0,300.0,/m/0l14j_
243159,3A5JulzoiJU,50.0,60.0,/m/0l14j_
243259,3ACHA_qCOjw,30.0,40.0,/m/0l14j_
244926,3CFm_4LkBck,30.0,40.0,/m/0l14j_
245117,3CUF3F-CtFk,370.0,380.0,/m/0l14j_
246303,3Du5Awq9OOI,60.0,70.0,/m/0l14j_
247120,3EuCX79Ly34,110.0,120.0,/m/0l14j_
247366,3FCOiHzqs3o,510.0,520.0,/m/0l14j_
250532,3J39CxcsuK4,30.0,40.0,/m/0l14j_
251435,3K6HUI7w_0A,110.0,120.0,/m/0l14j_
251685,3KQhb6TWTyU,30.0,40.0,/m/0l14j_
252200,3L-AYUC3VkI,20.0,30.0,/m/0l14j_
253101,3M6F7RjIJeE,30.0,40.0,/m/0l14j_
253617,3MhQgiRHfks,20.0,30.0,/m/0l14j_
254772,3O9C-BfUfWU,40.0,50.0,/m/0l14j_
255345,3OrBnm8F26w,120.0,130.0,/m/0l14j_
255596,3PA_i4xoMww,70.0,80.0,/m/0l14j_
256633,3QS9hlK1-H8,30.0,40.0,/m/0l14j_
257781,3Rl4QZQBK8g,21.0,31.0,/m/0l14j_
257927,3Rv-DFIlMlQ,90.0,100.0,/m/0l14j_
258564,3SgEeN6irp0,13.0,23.0,/m/0l14j_
258889,3T3f8kRjZRs,260.0,270.0,/m/0l14j_
258957,3T7wpDllY4U,30.0,40.0,/m/0l14j_
259576,3TvWVSLxPBU,30.0,40.0,/m/0l14j_
260549,3V5v01WaCNE,30.0,40.0,/m/0l14j_
261371,3W768GlLY3Y,30.0,40.0,/m/0l14j_
262309,3XEZ7uQNLuc,28.0,38.0,/m/0l14j_
263006,3Y5w0mtbBfw,30.0,40.0,/m/0l14j_
263460,3YcRgkGM9Fg,210.0,220.0,/m/0l14j_
264693,3_4xdrKbbrs,140.0,150.0,/m/0l14j_
264964,3_SlD1JqUJU,30.0,40.0,/m/0l14j_
265092,3_c8e9K6vDU,80.0,90.0,/m/0l14j_
265960,3ahCihi-0sg,20.0,30.0,/m/0l14j_
269044,3eZ1_2BapP0,0.0,10.0,/m/0l14j_
269055,3eZwaKuPJao,30.0,40.0,/m/0l14j_
269642,3fEL0gkhLO4,370.0,380.0,/m/0l14j_
272310,3iUbtlISGpo,30.0,40.0,/m/0l14j_
273048,3jRe9GamhgE,20.0,30.0,/m/0l14j_
273267,3jfDmY9hqqE,30.0,40.0,/m/0l14j_
274250,3ktgFuVY-OE,13.0,23.0,/m/0l14j_
274326,3kxuIlv2v7c,50.0,60.0,/m/0l14j_
276029,3n4DeaaLSp0,30.0,40.0,/m/0l14j_
279032,3qooV4-Q-hg,170.0,180.0,/m/0l14j_
282543,3v40Q-UgG7U,30.0,40.0,/m/0l14j_
282685,3vFam63VBS0,0.0,10.0,/m/0l14j_
283058,3vkfO6RKjOU,30.0,40.0,/m/0l14j_
283809,3wiVne-mkf0,170.0,180.0,/m/0l14j_
285476,3yj10u9oQiM,140.0,150.0,/m/0l14j_
286017,3zNilCqK7Vg,30.0,40.0,/m/0l14j_
288228,4198t9W0Pa4,30.0,40.0,/m/0l14j_
289722,432cNPXDCoY,0.0,10.0,/m/0l14j_
289970,43Nczw232hc,30.0,40.0,/m/0l14j_
290043,43TtcZLKlGI,130.0,140.0,/m/0l14j_
292432,46YW68C5bIo,160.0,170.0,/m/0l14j_
292649,46pvjZUmq8E,10.0,20.0,/m/0l14j_
294832,49RjWV4QPt4,40.0,50.0,/m/0l14j_
294947,49ZNLAP0ww4,320.0,330.0,/m/0l14j_
296170,4B50xtVr8p8,20.0,30.0,/m/0l14j_
296746,4BrerBQptrQ,30.0,40.0,/m/0l14j_
300046,4G4p4HyRsr4,0.0,10.0,/m/0l14j_
300385,4GWvIED63u8,30.0,40.0,/m/0l14j_
300390,4GXBRBa909U,30.0,40.0,/m/0l14j_
301117,4HTKGtbug88,190.0,200.0,/m/0l14j_
301712,4IFOyC7Udlo,10.0,20.0,/m/0l14j_
302915,4JnjuQ0rWvU,10.0,20.0,/m/0l14j_
303022,4JxETqaUtek,150.0,160.0,/m/0l14j_
303114,4K3KTJTfoSE,0.0,10.0,/m/0l14j_
303144,4K5ODMXSXxo,0.0,10.0,/m/0l14j_
303568,4KfIn-rRetc,30.0,40.0,/m/0l14j_
303622,4KjmffTgZYE,30.0,40.0,/m/0l14j_
304321,4LeONDEKCQY,30.0,40.0,/m/0l14j_
305101,4MgmJgKk45E,22.0,32.0,/m/0l14j_
305470,4N7xz9Gu9bk,30.0,40.0,/m/0l14j_
306203,4O5vZDGXr4c,30.0,40.0,/m/0l14j_
306235,4O9J6fxYZxE,8.0,18.0,/m/0l14j_
306558,4Oamz8gWS-4,240.0,250.0,/m/0l14j_
307306,4PXk-7vZslI,30.0,40.0,/m/0l14j_
308144,4QdiO3vkatc,30.0,40.0,/m/0l14j_
308519,4RAA9FGEsoQ,30.0,40.0,/m/0l14j_
308583,4RGBP8BROZA,30.0,40.0,/m/0l14j_
308677,4RPKxkLAXLU,90.0,100.0,/m/0l14j_
309018,4Rr63urf5oA,40.0,50.0,/m/0l14j_
309364,4SJTkLvOzzg,200.0,210.0,/m/0l14j_
310608,4TyTZTAR6Y4,30.0,40.0,/m/0l14j_
310686,4U3urgFCM24,30.0,40.0,/m/0l14j_
312330,4WFYuT-LMpU,30.0,40.0,/m/0l14j_
313689,4Y0HGqce5kU,30.0,40.0,/m/0l14j_
314060,4YWcxTUFsBA,30.0,40.0,/m/0l14j_
314611,4ZDqNkTEf2o,90.0,100.0,/m/0l14j_
315470,4_PWrLo3sB4,30.0,40.0,/m/0l14j_
315478,4_QWQOi9gCo,30.0,40.0,/m/0l14j_
315494,4_RVNbquLDM,30.0,40.0,/m/0l14j_
